             id, partitions,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr
  4 threadCount, 86769     ,    3212,    2871,    2871,     1.2,     1.1,     2.1,     3.3,     9.1,    39.9,   30.2,  0.00906
  8 threadCount, 122557    ,    4461,    3982,    3982,     1.8,     1.5,     3.2,     5.2,    18.2,   871.2,   30.8,  0.02569
 16 threadCount, 157139    ,    5769,    5156,    5156,     2.8,     2.4,     5.8,     9.0,    25.1,    47.0,   30.5,  0.00378
 24 threadCount, 167097    ,    6099,    5454,    5454,     3.9,     3.3,     8.3,    12.9,    38.0,   329.0,   30.6,  0.00963
 36 threadCount, 162503    ,    5894,    5262,    5262,     6.1,     5.0,    14.1,    23.4,    43.9,   196.7,   30.9,  0.01686
 54 threadCount, 179920    ,    6482,    5789,    5789,     8.3,     7.2,    16.5,    26.2,    53.5,   101.1,   31.1,  0.01165
 81 threadCount, 195019    ,    6967,    6229,    6229,    11.6,    10.2,    22.6,    34.5,    71.1,   372.4,   31.3,  0.00480
121 threadCount, 200841    ,    7026,    6280,    6280,    17.1,    15.6,    31.9,    47.2,   103.7,   200.8,   32.0,  0.00737
181 threadCount, 209828    ,    7267,    6490,    6490,    24.8,    23.1,    45.7,    62.2,   123.2,   156.5,   32.3,  0.00417
271 threadCount, 220879    ,    7243,    6466,    6466,    37.7,    33.5,    74.9,   112.6,   688.4,   771.8,   34.2,  0.00883
406 threadCount, 238178    ,    7299,    6514,    6514,    55.1,    48.7,   113.8,   179.6,   643.5,   916.4,   36.6,  0.00949
609 threadCount, 261881    ,    7222,    6456,    6456,    83.0,    72.4,   180.9,   307.0,   732.3,  1057.8,   40.6,  0.01282
